"lhs","op","rhs","est","start","free","se","group"
"visual","=~","x1",1,1,0,0,1
"visual","=~","x2",0.571767942719072,0.81676260198,1,0.128939266729571,1
"visual","=~","x3",0.759619582550115,0.98458189659243,2,0.136381736040045,1
"textual","=~","x4",1,1,0,0,1
"textual","=~","x5",1.03870318336964,1.18074282177153,3,0.0770961721045672,1
"textual","=~","x6",0.94650059788207,0.831154303636652,4,0.0742486141181593,1
"speed","=~","x7",1,1,0,0,1
"speed","=~","x8",1.28310007972141,1.30148450347445,5,0.181368886295978,1
"speed","=~","x9",1.09141666140557,0.897101348320618,6,0.187982429585399,1
"x1","~~","x1",0.443996193601279,0.733013995957125,7,0.199267116081084,1
"x2","~~","x2",1.32417933564545,0.826754654762818,8,0.192654897754735,1
"x3","~~","x3",0.921019630080513,0.719745372877612,9,0.164865633442665,1
"x4","~~","x4",0.526989608771139,0.715260351223967,10,0.096834867286116,1
"x5","~~","x5",0.559137200129599,0.793184269434269,11,0.103044077237442,1
"x6","~~","x6",0.195283012024693,0.456357633442589,12,0.0605398845800735,1
"x7","~~","x7",0.916031556994004,0.629337271008787,13,0.135879005048537,1
"x8","~~","x8",0.478453774872521,0.502151246760025,14,0.115398750997667,1
"x9","~~","x9",0.565278492607323,0.45775142112832,15,0.107148555229426,1
"visual","~~","visual",0.953255439939461,0.05,16,0.236678663854052,1
"textual","~~","textual",0.862446408486542,0.05,17,0.145473911692546,1
"speed","~~","speed",0.314720358580521,0.05,18,0.0909860919554384,1
"visual","~~","textual",0.40108254707089,0,19,0.117721953109884,1
"visual","~~","speed",0.159482689168392,0,20,0.0715293317312049,1
"textual","~~","speed",0.191345267414098,0,21,0.0655648456306417,1
"x1","~1","",4.94074000660924,4.95031347768925,22,0.104358522472018,1
"x2","~1","",5.99443204887425,5.9965377886136,23,0.115891002980941,1
"x3","~1","",2.51712288993994,2.49644010972485,24,0.104813449679732,1
"x4","~1","",2.79928689778056,2.81021275006809,25,0.0981947976320647,1
"x5","~1","",4.0718257837718,4.06028913876339,26,0.103543738215232,1
"x6","~1","",1.95071383786977,1.94716184575866,27,0.0832707287061935,1
"x7","~1","",4.43196501625375,4.42464293298121,28,0.0964054670292561,1
"x8","~1","",5.61955180296865,5.61040502573022,29,0.0853166718338223,1
"x9","~1","",5.42343279804294,5.42416192343908,30,0.0853958092148327,1
"visual","~1","",0,0,0,0,1
"textual","~1","",0,0,0,0,1
"speed","~1","",0,0,0,0,1
"visual","=~","x1",1,1,0,0,2
"visual","=~","x2",0.571767942719072,0.814529773793902,31,0.128939266729571,2
"visual","=~","x3",0.759619582550115,1.82997977228274,32,0.136381736040045,2
"textual","=~","x4",1,1,0,0,2
"textual","=~","x5",1.03870318336964,0.966036217280614,33,0.0770961721045672,2
"textual","=~","x6",0.94650059788207,1.02260492298683,34,0.0742486141181593,2
"speed","=~","x7",1,1,0,0,2
"speed","=~","x8",1.28310007972141,1.47490496040121,35,0.181368886295978,2
"speed","=~","x9",1.09141666140557,0.989903749758025,36,0.187982429585399,2
"x1","~~","x1",0.714259331460633,0.713111172167295,37,0.158884362431053,2
"x2","~~","x2",0.896725229282496,0.558570383243391,38,0.135276896483649,2
"x3","~~","x3",0.622926646342931,0.551134301270417,39,0.122395517097471,2
"x4","~~","x4",0.307525793890232,0.634390841279525,40,0.074746207361083,2
"x5","~~","x5",0.463720217330731,0.681833598848862,41,0.0882947030933291,2
"x6","~~","x6",0.389403322727686,0.635779949414011,42,0.0776244618445458,2
"x7","~~","x7",0.612307296144384,0.51580760421683,43,0.103926379778965,2
"x8","~~","x8",0.437618492912515,0.597871138800348,44,0.126513521433689,2
"x9","~~","x9",0.455922596260829,0.499448308957808,45,0.111517612299486,2
"visual","~~","visual",0.723038135931645,0.05,46,0.186033918693256,2
"textual","~~","textual",0.911081302358556,0.05,47,0.144742761071911,2
"speed","~~","speed",0.436640935254673,0.05,48,0.114001274799002,2
"visual","~~","textual",0.412347941642701,0,49,0.105771634353782,2
"visual","~~","speed",0.311708610823675,0,50,0.0880147518653641,2
"textual","~~","speed",0.176793982676397,0,51,0.0733977284769063,2
"x1","~1","",4.91538944567258,4.92733125206419,52,0.107024581272406,2
"x2","~1","",6.21503047837128,6.2232956912872,53,0.097193924534944,2
"x3","~1","",2.02710129441816,2.03095533868824,54,0.0929072773693489,2
"x4","~1","",3.3004806898688,3.29195833886155,55,0.0951786747948552,2
"x5","~1","",4.71604552478569,4.71740028107335,56,0.104208088667223,2
"x6","~1","",2.4322949166664,2.43739804654815,57,0.0953120290537315,2
"x7","~1","",3.88365749151533,3.9025996371065,58,0.09029082731462,2
"x8","~1","",5.4868391663664,5.492463454228,59,0.0948534363235604,2
"x9","~1","",5.32122894854981,5.32969498566334,60,0.089017553498093,2
"visual","~1","",0,0,0,0,2
"textual","~1","",0,0,0,0,2
"speed","~1","",0,0,0,0,2
".p2.","==",".p38.",-1.11022302462516e-16,0,0,0,0
".p3.","==",".p39.",-1.11022302462516e-16,0,0,0,0
".p5.","==",".p41.",-2.22044604925031e-16,0,0,0,0
".p6.","==",".p42.",-2.22044604925031e-16,0,0,0,0
".p8.","==",".p44.",-2.22044604925031e-16,0,0,0,0
".p9.","==",".p45.",-2.22044604925031e-16,0,0,0,0
